Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Vegan Chicken Curry: We suggest serving with basmati rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with another rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with couscous vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!
Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.
Portuguese duck rice: Drain the stock from the duck reserving it to cook the rice.	Portuguese duck rice: Drain the stock from the small whole chicken  reserving it to cook the rice.	Portuguese duck rice: Drain the stock from the vinegar reserving it to cook the rice.
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the tofu and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chilli powder and marinade to the pan.
Creamy Coconut-Lime Salmon: Season the salmon with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the vegetarian quorn with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the white chocolate with ½ teaspoon salt.
Seared Scallops: In large pan over medium-high heat melt butter with oil.	Seared Scallops: In king prawns pan over medium-high heat melt butter with oil.	Seared Scallops: In wheatgerm oil pan over medium-high heat melt butter with oil.
Garlic Parmesan Cauliflower Steaks: Place cauliflower slices in a single layer onto the prepared baking sheet.	Garlic Parmesan Cauliflower Steaks: Place ribeye steak slices in a single layer onto the prepared baking sheet.	Garlic Parmesan Cauliflower Steaks: Place peanut oil slices in a single layer onto the prepared baking sheet.
Vegan lemon cake: Mix the flour sugar baking powder and lemon zest in a bowl.	Vegan lemon cake: Mix the flour granulated sugar baking powder and lemon zest in a bowl.	Vegan lemon cake: Mix the flour urad gram baking powder and lemon zest in a bowl.
Versatile veg soup: Fry the vegetables and potatoes in a pan with the oil for a few minutes until beginning to soften.	Versatile veg soup: Fry the vegetables and tinned tomatoes in a pan with the oil for a few minutes until beginning to soften.	Versatile veg soup: Fry the vegetables and mussel in a pan with the oil for a few minutes until beginning to soften.
Korean sesame pork stir-fry: Add the pork and fry for 5 mins until browned.	Korean sesame pork stir-fry: Add the chicken diced  and fry for 5 mins until browned.	Korean sesame pork stir-fry: Add the yeast extract and fry for 5 mins until browned.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g turkey mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g pastrami.
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on kedgeree for me is strongly linked to having some fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on lemon sole and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with salmon ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with seabass ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with palm sugar ginger-scallion vinaigrette and sesame oil.
Home-style chicken curry: Cook for 5 mins to coat the chicken in the masala and seal in the juices and then pour over 250ml hot chicken stock.	Home-style chicken curry: Cook for 5 mins to coat the quorn chicken pieces in the masala and seal in the juices and then pour over 250ml hot quorn chicken pieces stock.	Home-style chicken curry: Cook for 5 mins to coat the groundnut oil in the masala and seal in the juices and then pour over 250ml hot groundnut oil stock.
Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g lean beef mince in two batches for about 10 mins until browned all over.	Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g quorn mince in two batches for about 10 mins until browned all over.	Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g turkey in two batches for about 10 mins until browned all over.
Scottish Oat Cakes: Add the butter and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the margarine and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the bran and rub together until everything is mixed and has the consistency of large bread crumbs.
Vegan mushroom risotto: Stir in the rice and coat in the vegan butter and oil.	Vegan mushroom risotto: Stir in the rice and coat in the vegan butter and oil.	Vegan mushroom risotto: Stir in the rice and coat in the vegan butter and oil.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g minced pork.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g white rice.
Lasagna: Return the browned ground beef to the pan.	Lasagna: Return the browned quorn mince to the pan.	Lasagna: Return the browned chili oil to the pan.
Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is cooked through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is shirataki rice through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is soya flour through remove from pan and set aside
Stir-fry with broccoli & brown rice: Meanwhile heat the rice following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the pasta following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the yam following the pack instructions and serve with the stir-fry.
Feta & kale loaded sweet potato: Add the chickpeas to the tray then roast for 10 mins more until the potatoes are completely tender and the chickpeas have crisped a little.	Feta & kale loaded sweet potato: Add the kidney beans to the tray then roast for 10 mins more until the potatoes are completely tender and the kidney beans have crisped a little.	Feta & kale loaded sweet potato: Add the curry powder to the tray then roast for 10 mins more until the potatoes are completely tender and the curry powder have crisped a little.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the margarine to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the tomato puree to brown or it will discolour the eggs.
Homemade falafels: Add the egg then squish the mixture together with your hands.	Homemade falafels: Add the  i would simply remove the ingredient. if itâ€™s for binding then squish the mixture together with your hands.	Homemade falafels: Add the semolina then squish the mixture together with your hands.
Vegetarian fajitas: Tip the black beans into the same pan then add the remaining lime juice and plenty of seasoning.	Vegetarian fajitas: Tip the kidney beans into the same pan then add the remaining lime juice and plenty of seasoning.	Vegetarian fajitas: Tip the flour into the same pan then add the remaining lime juice and plenty of seasoning.
Super Simple Macaroni Cheese: Very gradually add the milk stirring constantly.	Super Simple Macaroni Cheese: Very gradually add the creme fraiche stirring constantly.	Super Simple Macaroni Cheese: Very gradually add the gravy granules stirring constantly.
The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the black beans.	The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the kidney beans.	The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the tapioca.
Simple lasagne: Add the mince and fry on a medium heat until golden.	Simple lasagne: Add the lentils and fry on a medium heat until golden.	Simple lasagne: Add the wasabi and fry on a medium heat until golden.
